													BURGLAR ALARM BOOLEAN EQUATION AND TRUTH TABLE

														a : Auditory Sensor State

														b : Door Switch State

														c : Luminosity Sensor State

														d : Motion Detector State

														e : Master Switch State

												X = a || ( ( ( ! ( b && c ) ) || ( ! ( c && d ) ) ) && e )

↑↓	↑↓	↑↓	↑↓	↑↓	↑↓

a	b	c	d	e	X

0	0	0	0	0	0

0	0	0	0	1	1

0	0	0	1	0	0

0	0	0	1	1	1

0	0	1	0	0	0

0	0	1	0	1	1

0	0	1	1	0	0

0	0	1	1	1	1

0	1	0	0	0	0

0	1	0	0	1	1

0	1	0	1	0	0

0	1	0	1	1	1

0	1	1	0	0	0

0	1	1	0	1	1

0	1	1	1	0	0

0	1	1	1	1	0

1	0	0	0	0	1

1	0	0	0	1	1

1	0	0	1	0	1

1	0	0	1	1	1

1	0	1	0	0	1

1	0	1	0	1	1

1	0	1	1	0	1

1	0	1	1	1	1

1	1	0	0	0	1

1	1	0	0	1	1

1	1	0	1	0	1

1	1	0	1	1	1

1	1	1	0	0	1

1	1	1	0	1	1

1	1	1	1	0	1

1	1	1	1	1	1
